d,method,detect_rate,false_alarm_rate,delay_mean,delay_median,delay_90pct
1,raw,1.0,0.596,-17.05,-20.0,19.0
1,whitened,0.99,0.505,-7.47,-2.0,36.0
1,pathway_a,0.997,0.318,3.98,8.0,38.0
2,raw,0.997,0.602,-16.22,-18.0,21.0
2,whitened,0.992,0.696,-21.38,-30.5,20.0
2,pathway_a,0.995,0.276,6.63,8.0,42.0
5,raw,1.0,0.844,-33.19,-42.0,7.0
5,whitened,1.0,0.983,-48.38,-52.0,-35.0
5,pathway_a,1.0,0.159,6.17,8.0,25.1
10,raw,1.0,0.999,-52.61,-55.0,-42.0
10,whitened,1.0,1.0,-58.0,-58.0,-56.0
10,pathway_a,1.0,0.166,2.35,6.0,16.1
